year,region,govt_schools,nongovt_schools,total_schools,enrolment_f1f4,total_teachers,schools_with_electricity,pct_schools_electricity,desktop_computers,laptop_computers,projectors,enrolment_for_dropout,total_dropouts,dropout_rate_regional,pupil_book_ratio,disability_enrolment,csee_div1_pct,infra_imputed_2020,ptr_regional,desktops_per_school,teachers_per_school,nongovt_share,enrolment_per_school,laptops_per_school,csee_pass_rate,csee_fail_rate,csee_candidates,dropout_rate_pct,gross_completion_rate,total_teachers_national,qualified_teachers_national,qualified_teacher_ratio,ptr_national
2020,ARUSHA,159,101,260,123324,6175,,84.1698841698842,2546.0,1950.0,346.0,,5.0,,,7.0,7.19,1,19.97,9.79,23.75,0.3885,474.3,7.5,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,ARUSHA,163,96,259,131552,6203,259.0,84.1698841698842,2546.0,1950.0,346.0,123324.0,2.48856670234504,0.002,,7.0,6.57,0,21.21,9.83,23.95,0.3707,507.9,7.53,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,ARUSHA,172,97,269,136706,6200,269.0,86.2453531598513,2777.0,2233.0,376.0,131552.0,2.78901118949161,0.0021,,11.0,7.25,0,22.05,10.32,23.05,0.3606,508.2,8.3,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,ARUSHA,174,101,275,143346,6345,275.0,90.1818181818182,2488.0,2386.0,325.0,136706.0,2.6567963366640823,0.0019,,21.0,8.05,0,22.59,9.05,23.07,0.3673,521.3,8.68,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,ARUSHA,189,99,288,155345,6492,288.0,93.0555555555556,3134.0,2633.0,399.0,143346.0,2.34328129142076,0.0016,,12.0,,0,23.93,10.88,22.54,0.3438,539.4,9.14,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,DAR ES SALAAM,157,178,335,231612,9319,,97.3529411764706,3503.0,1076.0,470.0,,17.0,,,13.0,7.19,1,24.85,10.46,27.82,0.5313,691.4,3.21,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,DAR ES SALAAM,164,176,340,257139,9313,340.0,97.3529411764706,3503.0,1076.0,470.0,231612.0,0.838039479819699,0.0004,,13.0,6.57,0,27.61,10.3,27.39,0.5176,756.3,3.16,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,DAR ES SALAAM,172,178,350,268637,9304,350.0,98.2857142857143,3637.0,1183.0,534.0,257139.0,1.44707726171448,0.0006,,77.0,7.25,0,28.87,10.39,26.58,0.5086,767.5,3.38,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,DAR ES SALAAM,179,178,357,284184,9689,357.0,98.0392156862745,3044.0,1220.0,434.0,268637.0,1.3348868547519515,0.0005,,114.0,8.05,0,29.33,8.53,27.14,0.4986,796.0,3.42,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,DAR ES SALAAM,191,178,369,300249,9988,369.0,97.5609756097561,4091.0,1300.0,556.0,284184.0,1.49339864313262,0.0005,,67.0,,0,30.06,11.09,27.07,0.4824,813.7,3.52,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,DODOMA,191,31,222,102112,4150,,80.3571428571429,951.0,150.0,152.0,,6.0,,,5.0,7.19,1,24.61,4.28,18.69,0.1396,460.0,0.68,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,DODOMA,193,31,224,110555,4283,224.0,80.3571428571429,951.0,150.0,152.0,102112.0,6.03357098088374,0.0059,,5.0,6.57,0,25.81,4.25,19.12,0.1384,493.5,0.67,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,DODOMA,200,33,233,116170,4352,233.0,85.8369098712446,997.0,185.0,188.0,110555.0,7.96164804848266,0.0072,,6.0,7.25,0,26.69,4.28,18.68,0.1416,498.6,0.79,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,DODOMA,220,32,252,126393,4579,252.0,82.9365079365079,910.0,228.0,197.0,116170.0,7.614702591030387,0.0066,,8.0,8.05,0,27.6,3.61,18.17,0.127,501.6,0.9,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,DODOMA,238,36,274,138777,4853,274.0,88.6861313868613,1147.0,382.0,278.0,126393.0,7.92923658746924,0.0063,,31.0,,0,28.6,4.19,17.71,0.1314,506.5,1.39,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,GEITA,120,17,137,97179,3084,,64.6666666666667,476.0,110.0,130.0,,5.0,,,1.0,7.19,1,31.51,3.47,22.51,0.1241,709.3,0.8,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,GEITA,133,17,150,108059,3164,150.0,64.6666666666667,476.0,110.0,130.0,97179.0,8.37835334794554,0.0086,,1.0,6.57,0,34.15,3.17,21.09,0.1133,720.4,0.73,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,GEITA,155,21,176,116183,3250,176.0,64.2045454545455,519.0,111.0,145.0,108059.0,8.31582746462581,0.0077,,8.0,7.25,0,35.75,2.95,18.47,0.1193,660.1,0.63,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,GEITA,205,25,230,133702,3490,230.0,54.7826086956522,452.0,124.0,136.0,116183.0,7.753285764698795,0.0067,,6.0,8.05,0,38.31,1.97,15.17,0.1087,581.3,0.54,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,GEITA,213,26,239,149200,3878,239.0,60.6694560669456,644.0,150.0,205.0,133702.0,8.33644971653378,0.0062,,6.0,,0,38.47,2.69,16.23,0.1088,624.3,0.63,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,IRINGA,115,66,181,81391,3907,,80.5405405405405,1417.0,643.0,206.0,,4.0,,,5.0,7.19,1,20.83,7.83,21.59,0.3646,449.7,3.55,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,IRINGA,118,67,185,85902,3947,185.0,80.5405405405405,1417.0,643.0,206.0,81391.0,4.2830288361121,0.0053,,5.0,6.57,0,21.76,7.66,21.34,0.3622,464.3,3.48,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,IRINGA,122,69,191,88826,3997,191.0,83.7696335078534,1459.0,631.0,227.0,85902.0,4.44925612907732,0.0052,,7.0,7.25,0,22.22,7.64,20.93,0.3613,465.1,3.3,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,IRINGA,129,68,197,94284,4116,197.0,86.8020304568528,1262.0,715.0,197.0,88826.0,3.9346587710805396,0.0044,,7.0,8.05,0,22.91,6.41,20.89,0.3452,478.6,3.63,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
