year,region,govt_schools,nongovt_schools,total_schools,enrolment_f1f4,total_teachers,schools_with_electricity,pct_schools_electricity,desktop_computers,laptop_computers,projectors,enrolment_for_dropout,total_dropouts,dropout_rate_regional,pupil_book_ratio,disability_enrolment,csee_div1_pct,infra_imputed_2020,ptr_regional,desktops_per_school,teachers_per_school,nongovt_share,enrolment_per_school,laptops_per_school,csee_pass_rate,csee_fail_rate,csee_candidates,dropout_rate_pct,gross_completion_rate,total_teachers_national,qualified_teachers_national,qualified_teacher_ratio,ptr_national,csee_pass_rate_lag1,csee_pass_rate_lag2,ptr_national_lag1,ptr_national_lag2,gross_completion_rate_lag1,gross_completion_rate_lag2,pct_schools_electricity_lag1,pct_schools_electricity_lag2,dropout_rate_pct_lag1,dropout_rate_pct_lag2,enrolment_f1f4_lag1,enrolment_f1f4_lag2,total_teachers_lag1,total_teachers_lag2,csee_pass_rate_roll2,csee_pass_rate_roll3,ptr_national_roll2,ptr_national_roll3,dropout_rate_pct_roll2,dropout_rate_pct_roll3,gross_completion_rate_roll2,gross_completion_rate_roll3,pct_schools_electricity_roll2,pct_schools_electricity_roll3,enrolment_yoy_growth,teacher_yoy_growth,school_yoy_growth,electricity_yoy_growth,ict_yoy_growth,enrolment_teacher_growth_gap,infra_index,electricity_index,ict_index,dropout_burden,disability_inclusion_rate,year_index,log_enrolment,log_schools,teacher_quality_x_density,infra_x_teacher_quality,ptr_x_electricity,retention_pressure,education_quality_index,csee_cumulative_improvement
2020,ARUSHA,159,101,260,123324,6175,,84.1698841698842,2546.0,1950.0,346.0,,5.0,,,7.0,7.19,1,19.97,9.79,23.75,0.3885,474.3,7.5,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5,,,,,,,,,,,,,,,85.84,85.84,22.5,22.5,4.59,4.59,38.55,38.55,84.1698841698842,84.1698841698842,,,,,,,0.8055,0.8417,0.9281,0.0041,0.0568,0,11.7226,5.5645,23.498,0.797,18.9382,0.1191,0.5471,
2021,ARUSHA,163,96,259,131552,6203,259.0,84.1698841698842,2546.0,1950.0,346.0,123324.0,2.48856670234504,0.002,,7.0,6.57,0,21.21,9.83,23.95,0.3707,507.9,7.53,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0,85.84,,22.5,,38.55,,84.1698841698842,,4.59,,123324.0,,6175.0,,86.57,86.57,22.75,22.75,4.5889907968689005,4.5889907968689005,39.0274420009529,39.0274420009529,84.1698841698842,84.1698841698842,0.0667,0.0045,-0.0038,0.0,0.0,0.0622,0.8081,0.8417,0.9319,0.0019,0.0532,1,11.7872,5.5607,23.7504,0.8014,19.3591,0.1161,0.6726,1.4599999999999937
2022,ARUSHA,172,97,269,136706,6200,269.0,86.2453531598513,2777.0,2233.0,376.0,131552.0,2.78901118949161,0.0021,,11.0,7.25,0,22.05,10.32,23.05,0.3606,508.2,8.3,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0,87.3,85.84,23.0,22.5,39.5048840019058,38.55,84.1698841698842,84.1698841698842,4.5879815937378,4.59,131552.0,123324.0,6203.0,6175.0,87.545,86.97666666666667,23.5,23.166666666666668,4.738799356384185,4.689199570922789,39.1195417646367,38.9296945097578,85.20761866486775,84.8617071665399,0.0392,-0.0005,0.0386,0.0247,0.0907,0.0397,0.8674,0.8625,0.9784,0.002,0.0805,2,11.8256,5.5984,22.8784,0.8609,20.7,0.1262,0.417,1.9500000000000028
2023,ARUSHA,174,101,275,143346,6345,275.0,90.1818181818182,2488.0,2386.0,325.0,136706.0,2.6567963366640823,0.0019,,21.0,8.05,0,22.59,9.05,23.07,0.3673,521.3,8.68,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0,87.79,87.3,24.0,23.0,38.7341995273676,39.5048840019058,86.2453531598513,84.1698841698842,4.88961711903057,4.5879815937378,136706.0,131552.0,6200.0,6203.0,88.58000000000001,88.15333333333335,24.5,24.0,4.85863451429339,4.768416874108193,40.389665536359175,40.09473835820805,88.21358567083476,86.8656851705179,0.0486,0.0234,0.0223,0.0456,-0.1041,0.025199999999999997,0.8606,0.9018,0.858,0.0019,0.1465,3,11.873,5.6204,22.9325,0.8555,22.545,0.1148,0.6686,3.530000000000001
2024,ARUSHA,189,99,288,155345,6492,288.0,93.0555555555556,3134.0,2633.0,399.0,143346.0,2.34328129142076,0.0016,,12.0,,0,23.93,10.88,22.54,0.3438,539.4,9.14,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0,89.37,87.79,25.0,24.0,42.04513154535075,38.7341995273676,90.1818181818182,86.2453531598513,4.82765190955621,4.88961711903057,143346.0,136706.0,6345.0,6200.0,89.37,88.58000000000001,25.5,25.0,4.82396388166662,4.845848294121271,41.71085453499957,40.71863619912225,91.6186868686869,89.82757563240837,0.0837,0.0232,0.0473,0.0319,0.2596,0.0605,0.9607,0.9306,1.0,0.0015,0.0772,4,11.9534,5.6664,22.403,0.9549,24.1956,0.1165,0.5837,
2020,DAR ES SALAAM,157,178,335,231612,9319,,97.3529411764706,3503.0,1076.0,470.0,,17.0,,,13.0,7.19,1,24.85,10.46,27.82,0.5313,691.4,3.21,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5,,,,,,,,,,,,,,,85.84,85.84,22.5,22.5,4.59,4.59,38.55,38.55,97.3529411764706,97.3529411764706,,,,,,,0.7465,0.9735,0.9917,0.0073,0.0561,0,12.3528,5.8171,27.5248,0.7386,21.9038,0.1191,0.5953,
2021,DAR ES SALAAM,164,176,340,257139,9313,340.0,97.3529411764706,3503.0,1076.0,470.0,231612.0,0.838039479819699,0.0004,,13.0,6.57,0,27.61,10.3,27.39,0.5176,756.3,3.16,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0,85.84,,22.5,,38.55,,97.3529411764706,,4.59,,231612.0,,9319.0,,86.57,86.57,22.75,22.75,4.5889907968689005,4.5889907968689005,39.0274420009529,39.0274420009529,97.3529411764706,97.3529411764706,0.1102,-0.0006,0.0149,0.0,0.0,0.11080000000000001,0.7389,0.9735,0.9765,0.0003,0.0506,1,12.4574,5.8319,27.1618,0.7327,22.3905,0.1161,0.7207,1.4599999999999937
2022,DAR ES SALAAM,172,178,350,268637,9304,350.0,98.2857142857143,3637.0,1183.0,534.0,257139.0,1.44707726171448,0.0006,,77.0,7.25,0,28.87,10.39,26.58,0.5086,767.5,3.38,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0,87.3,85.84,23.0,22.5,39.5048840019058,38.55,97.3529411764706,97.3529411764706,4.5879815937378,4.59,257139.0,231612.0,9313.0,9319.0,87.545,86.97666666666667,23.5,23.166666666666668,4.738799356384185,4.689199570922789,39.1195417646367,38.9296945097578,97.81932773109244,97.6638655462185,0.0447,-0.001,0.0294,0.0096,0.0383,0.0457,0.7562,0.9829,0.985,0.0005,0.2866,2,12.5011,5.8608,26.3821,0.7506,23.5896,0.1262,0.461,1.9500000000000028
2023,DAR ES SALAAM,179,178,357,284184,9689,357.0,98.0392156862745,3044.0,1220.0,434.0,268637.0,1.3348868547519515,0.0005,,114.0,8.05,0,29.33,8.53,27.14,0.4986,796.0,3.42,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0,87.79,87.3,24.0,23.0,38.7341995273676,39.5048840019058,98.2857142857143,97.3529411764706,4.88961711903057,4.5879815937378,268637.0,257139.0,9304.0,9313.0,88.58000000000001,88.15333333333335,24.5,24.0,4.85863451429339,4.768416874108193,40.389665536359175,40.09473835820805,98.1624649859944,97.89262371615314,0.0579,0.0414,0.02,-0.0025,-0.163,0.0165,0.69,0.9804,0.8087,0.0005,0.4011,3,12.5574,5.8805,26.9782,0.6859,24.51,0.1148,0.6973,3.530000000000001
2024,DAR ES SALAAM,191,178,369,300249,9988,369.0,97.5609756097561,4091.0,1300.0,556.0,284184.0,1.49339864313262,0.0005,,67.0,,0,30.06,11.09,27.07,0.4824,813.7,3.52,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0,89.37,87.79,25.0,24.0,42.04513154535075,38.7341995273676,98.0392156862745,98.2857142857143,4.82765190955621,4.88961711903057,284184.0,268637.0,9689.0,9304.0,89.37,88.58000000000001,25.5,25.0,4.82396388166662,4.845848294121271,41.71085453499957,40.71863619912225,97.8000956480153,97.9619685272483,0.0565,0.0309,0.0336,-0.0049,0.344,0.0256,0.782,0.9756,1.0,0.0005,0.2231,4,12.6124,5.9135,26.9055,0.7772,25.3656,0.1165,0.6001,
2020,DODOMA,191,31,222,102112,4150,,80.3571428571429,951.0,150.0,152.0,,6.0,,,5.0,7.19,1,24.61,4.28,18.69,0.1396,460.0,0.68,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5,,,,,,,,,,,,,,,85.84,85.84,22.5,22.5,4.59,4.59,38.55,38.55,80.3571428571429,80.3571428571429,,,,,,,0.3271,0.8036,0.4058,0.0059,0.049,0,11.5338,5.4072,18.4917,0.3236,18.081,0.1191,0.5332,
